Complexity,Loss,Equation
1,0.0051890803,"0.62373483"
4,0.0039382335,"cube(x0) + 0.6074728"
5,0.0033977916,"sqrt(exp(x1)) * 0.6093196"
6,0.0027447613,"square(x1 + 0.17558967) - -0.5706049"
7,0.0027179886,"(x1 * (x0 + 0.26591673)) + 0.5744372"
8,0.0026501222,"exp((x1 * (x0 + 0.45139933)) + -0.5137119)"
9,0.0022765426,"(x1 * (x0 + (x1 + 0.22865173))) + 0.574476"
11,0.0022763533,"(((x1 + x0) + 0.23834345) * (x1 + -0.0044049947)) - -0.57576287"
12,0.0022298743,"(x1 * ((exp(x0 - 1.3199649) + x1) + x1)) + 0.57445353"
15,0.0022216567,"((x1 * ((x0 * 0.40134713) + (x1 + (x1 + 0.2630633)))) - 0.26512527) + 0.8371907"
