Complexity,Loss,Equation
1,0.0341598,"0.3348435"
4,0.030150557,"0.44889215 - square(x0)"
5,0.026379436,"square(0.6647086 - square(x0))"
6,0.025898838,"0.4347675 / cube(exp(square(x0)))"
8,0.025140088,"0.537869 / exp(sqrt(square(x0)) * 1.8972858)"
9,0.024463445,"(exp(square(x0) / -0.09423952) * 0.31466082) + 0.17489518"
11,0.024057567,"(exp(x0 + (square(x0) / -0.06969558)) * 0.30417755) + 0.18737979"
13,0.024022086,"(exp(x1 + ((square(x0) / -0.06975544) + 0.16659077)) * 0.25896382) + 0.18679622"
14,0.023904525,"(exp((square(x0 + square(x0)) / -0.1405976) + x1) * 0.31086433) + 0.15265018"
15,0.02372585,"square((exp(x1 + (square(x0 + square(x0)) / -0.15823324)) * 0.29161718) + 0.39176404)"
